priority_rank,reconstruction_id,fragment_count,reconstruction_confidence,file,file_key,integrity_status,file_type,size,integrity_score,reconstruction_score,fragment_score,priority_score,priority,explanation
1,20,20,0.994920739348371,reconstructed_020.bin,reconstructed_020.bin,valid,pdf,79985,100.0,99.49,100.0,99.85,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
42,79,10,0.9807319023569024,reconstructed_079.bin,reconstructed_079.bin,valid,jpeg,39951,100.0,98.07,50.0,94.42,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
43,125,11,0.9605982723577235,reconstructed_125.bin,reconstructed_125.bin,valid,jpeg,43185,100.0,96.06,55.0,94.32,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
44,116,10,0.9711230158730156,reconstructed_116.bin,reconstructed_116.bin,valid,zip,39576,100.0,97.11,50.0,94.13,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
45,49,9,0.9849806547619048,reconstructed_049.bin,reconstructed_049.bin,valid,pdf,33906,100.0,98.5,45.0,94.05,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
46,34,9,0.9836736111111112,reconstructed_034.bin,reconstructed_034.bin,valid,jpeg,36357,100.0,98.37,45.0,94.01,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
47,96,10,0.9653657407407408,reconstructed_096.bin,reconstructed_096.bin,valid,zip,37637,100.0,96.54,50.0,93.96,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
48,57,9,0.975391369047619,reconstructed_057.bin,reconstructed_057.bin,valid,png,33438,100.0,97.54,45.0,93.76,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
49,126,10,0.9580361351611352,reconstructed_126.bin,reconstructed_126.bin,valid,png,38206,100.0,95.8,50.0,93.74,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
50,14,8,0.990889455782313,reconstructed_014.bin,reconstructed_014.bin,valid,pdf,32596,100.0,99.09,40.0,93.73,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
51,26,8,0.9870357142857143,reconstructed_026.bin,reconstructed_026.bin,valid,pdf,31496,100.0,98.7,40.0,93.61,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
52,114,9,0.9675245898664344,reconstructed_114.bin,reconstructed_114.bin,valid,zip,35574,100.0,96.75,45.0,93.53,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
53,72,9,0.967563988095238,reconstructed_072.bin,reconstructed_072.bin,valid,jpeg,36050,100.0,96.76,45.0,93.53,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
54,83,8,0.9834821428571427,reconstructed_083.bin,reconstructed_083.bin,valid,png,30390,100.0,98.35,40.0,93.5,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
55,113,8,0.9833588850174214,reconstructed_113.bin,reconstructed_113.bin,valid,jpeg,32343,100.0,98.34,40.0,93.5,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
56,121,10,0.948406746031746,reconstructed_121.bin,reconstructed_121.bin,valid,zip,37980,100.0,94.84,50.0,93.45,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
57,71,8,0.9816029326364692,reconstructed_071.bin,reconstructed_071.bin,valid,jpeg,31738,100.0,98.16,40.0,93.45,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
58,39,8,0.981154761904762,reconstructed_039.bin,reconstructed_039.bin,valid,jpeg,29611,100.0,98.12,40.0,93.43,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
59,100,8,0.9811241911398704,reconstructed_100.bin,reconstructed_100.bin,valid,zip,32680,100.0,98.11,40.0,93.43,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
60,65,8,0.9795357142857144,reconstructed_065.bin,reconstructed_065.bin,valid,png,29934,100.0,97.95,40.0,93.39,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
61,37,8,0.977903911564626,reconstructed_037.bin,reconstructed_037.bin,valid,zip,30962,100.0,97.79,40.0,93.34,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
62,107,8,0.9755264020242242,reconstructed_107.bin,reconstructed_107.bin,valid,zip,32609,100.0,97.55,40.0,93.27,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
63,42,7,0.985418699186992,reconstructed_042.bin,reconstructed_042.bin,valid,png,27531,100.0,98.54,35.0,93.06,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
64,64,8,0.9665326793318954,reconstructed_064.bin,reconstructed_064.bin,valid,jpeg,29369,100.0,96.65,40.0,93.0,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
65,93,8,0.9651930272108844,reconstructed_093.bin,reconstructed_093.bin,valid,jpeg,31093,100.0,96.52,40.0,92.96,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
66,2,8,0.9634856686577072,reconstructed_002.bin,reconstructed_002.bin,valid,png,29493,100.0,96.35,40.0,92.9,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
67,111,8,0.9632849054255848,reconstructed_111.bin,reconstructed_111.bin,valid,jpeg,29634,100.0,96.33,40.0,92.9,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
68,104,9,0.9463728041521486,reconstructed_104.bin,reconstructed_104.bin,valid,png,33597,100.0,94.64,45.0,92.89,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
69,60,7,0.9786736111111112,reconstructed_060.bin,reconstructed_060.bin,valid,zip,27001,100.0,97.87,35.0,92.86,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
70,85,8,0.9610824829931972,reconstructed_085.bin,reconstructed_085.bin,valid,zip,29405,100.0,96.11,40.0,92.83,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
71,88,7,0.9743750483933412,reconstructed_088.bin,reconstructed_088.bin,valid,zip,27579,100.0,97.44,35.0,92.73,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
72,52,6,0.9879024390243902,reconstructed_052.bin,reconstructed_052.bin,valid,png,22419,100.0,98.79,30.0,92.64,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
73,109,7,0.9682679539295392,reconstructed_109.bin,reconstructed_109.bin,valid,jpeg,25663,100.0,96.83,35.0,92.55,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
74,76,6,0.984525,reconstructed_076.bin,reconstructed_076.bin,valid,png,22343,100.0,98.45,30.0,92.54,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
75,69,6,0.98100243902439,reconstructed_069.bin,reconstructed_069.bin,valid,png,23924,100.0,98.1,30.0,92.43,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
76,102,7,0.9639940476190476,reconstructed_102.bin,reconstructed_102.bin,valid,png,26109,100.0,96.4,35.0,92.42,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
77,36,5,0.9843958333333334,reconstructed_036.bin,reconstructed_036.bin,valid,png,20026,100.0,98.44,25.0,92.03,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
78,108,6,0.966991724738676,reconstructed_108.bin,reconstructed_108.bin,valid,png,21324,100.0,96.7,30.0,92.01,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
79,27,6,0.9609809523809524,reconstructed_027.bin,reconstructed_027.bin,valid,zip,21532,100.0,96.1,30.0,91.83,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
80,115,6,0.95685,reconstructed_115.bin,reconstructed_115.bin,valid,zip,21220,100.0,95.68,30.0,91.71,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
81,118,5,0.9587361837011228,reconstructed_118.bin,reconstructed_118.bin,valid,png,18978,100.0,95.87,25.0,91.26,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
82,82,4,0.9738253968253968,reconstructed_082.bin,reconstructed_082.bin,valid,jpeg,14107,100.0,97.38,20.0,91.21,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
83,33,4,0.9734583333333332,reconstructed_033.bin,reconstructed_033.bin,valid,jpeg,15779,100.0,97.35,20.0,91.2,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
84,129,6,0.9368377204096716,reconstructed_129.bin,reconstructed_129.bin,valid,jpeg,24352,100.0,93.68,30.0,91.11,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
85,43,5,0.9509970238095238,reconstructed_043.bin,reconstructed_043.bin,valid,jpeg,20298,100.0,95.1,25.0,91.03,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
86,67,5,0.9419241071428572,reconstructed_067.bin,reconstructed_067.bin,valid,png,17091,100.0,94.19,25.0,90.76,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
87,68,5,0.9389613821138212,reconstructed_068.bin,reconstructed_068.bin,valid,jpeg,16581,100.0,93.9,25.0,90.67,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
88,117,5,0.9190887896825396,reconstructed_117.bin,reconstructed_117.bin,valid,zip,20094,100.0,91.91,25.0,90.07,HIGH,integrity validation passed; very high reconstruction confidence; small reconstructed fragment chain
89,17,25,0.9890451388888888,reconstructed_017.bin,reconstructed_017.bin,partial,pdf,102400,60.0,98.9,100.0,75.67,MEDIUM,partial integrity validation; very high reconstruction confidence; large reconstructed fragment chain
90,94,21,0.9886690476190476,reconstructed_094.bin,reconstructed_094.bin,partial,pdf,86016,60.0,98.87,100.0,75.66,MEDIUM,partial integrity validation; very high reconstruction confidence; large reconstructed fragment chain
91,53,34,0.9874166666666666,reconstructed_053.bin,reconstructed_053.bin,partial,pdf,139264,60.0,98.74,100.0,75.62,MEDIUM,partial integrity validation; very high reconstruction confidence; large reconstructed fragment chain
92,55,34,0.9824036796536796,reconstructed_055.bin,reconstructed_055.bin,partial,pdf,139264,60.0,98.24,100.0,75.47,MEDIUM,partial integrity validation; very high reconstruction confidence; large reconstructed fragment chain
93,84,19,0.9858740079365078,reconstructed_084.bin,reconstructed_084.bin,partial,pdf,77824,60.0,98.59,95.0,75.08,MEDIUM,partial integrity validation; very high reconstruction confidence; substantial reconstructed fragment chain
94,40,12,0.9920508658008658,reconstructed_040.bin,reconstructed_040.bin,partial,pdf,49152,60.0,99.21,60.0,71.76,MEDIUM,partial integrity validation; very high reconstruction confidence; substantial reconstructed fragment chain
95,47,11,0.9886458333333332,reconstructed_047.bin,reconstructed_047.bin,partial,pdf,45056,60.0,98.86,55.0,71.16,MEDIUM,partial integrity validation; very high reconstruction confidence; substantial reconstructed fragment chain
96,51,10,0.991062862950058,reconstructed_051.bin,reconstructed_051.bin,partial,png,40960,60.0,99.11,50.0,70.73,MEDIUM,partial integrity validation; very high reconstruction confidence; substantial reconstructed fragment chain
97,38,2,0.992,reconstructed_038.bin,reconstructed_038.bin,partial,pdf,8192,60.0,99.2,10.0,66.76,MEDIUM,partial integrity validation; very high reconstruction confidence; small reconstructed fragment chain
98,80,4,0.9524722222222222,reconstructed_080.bin,reconstructed_080.bin,partial,jpeg,16384,60.0,95.25,20.0,66.57,MEDIUM,partial integrity validation; very high reconstruction confidence; small reconstructed fragment chain
99,81,2,0.9716666666666668,reconstructed_081.bin,reconstructed_081.bin,partial,jpeg,8192,60.0,97.17,10.0,66.15,MEDIUM,partial integrity validation; very high reconstruction confidence; small reconstructed fragment chain
100,124,2,0.9156607142857144,reconstructed_124.bin,reconstructed_124.bin,partial,zip,8192,60.0,91.57,10.0,64.47,MEDIUM,partial integrity validation; very high reconstruction confidence; small reconstructed fragment chain
101,10,20,0.9972744360902256,reconstructed_010.bin,reconstructed_010.bin,corrupted,unknown,78780,20.0,99.73,100.0,51.92,LOW,integrity validation failed; very high reconstruction confidence; large reconstructed fragment chain
102,32,27,0.9944317765567764,reconstructed_032.bin,reconstructed_032.bin,corrupted,unknown,110574,20.0,99.44,100.0,51.83,LOW,integrity validation failed; very high reconstruction confidence; large reconstructed fragment chain
103,119,28,0.9940864197530864,reconstructed_119.bin,reconstructed_119.bin,corrupted,unknown,113796,20.0,99.41,100.0,51.82,LOW,integrity validation failed; very high reconstruction confidence; large reconstructed fragment chain
104,11,33,0.9870091145833332,reconstructed_011.bin,reconstructed_011.bin,corrupted,unknown,131343,20.0,98.7,100.0,51.61,LOW,integrity validation failed; very high reconstruction confidence; large reconstructed fragment chain
105,6,18,0.9970126050420168,reconstructed_006.bin,reconstructed_006.bin,corrupted,unknown,73618,20.0,99.7,90.0,50.91,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
106,12,18,0.9945392156862748,reconstructed_012.bin,reconstructed_012.bin,corrupted,unknown,72030,20.0,99.45,90.0,50.84,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
107,54,18,0.9814019607843136,reconstructed_054.bin,reconstructed_054.bin,corrupted,unknown,72173,20.0,98.14,90.0,50.44,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
108,18,17,0.9936458333333332,reconstructed_018.bin,reconstructed_018.bin,corrupted,unknown,67964,20.0,99.36,85.0,50.31,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
109,28,16,0.9958722222222222,reconstructed_028.bin,reconstructed_028.bin,corrupted,unknown,62248,20.0,99.59,80.0,49.88,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
110,99,16,0.983388888888889,reconstructed_099.bin,reconstructed_099.bin,corrupted,unknown,62173,20.0,98.34,80.0,49.5,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
111,41,15,0.9928928571428572,reconstructed_041.bin,reconstructed_041.bin,corrupted,unknown,59747,20.0,99.29,75.0,49.29,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
112,15,14,0.9900128205128204,reconstructed_015.bin,reconstructed_015.bin,corrupted,unknown,55662,20.0,99.0,70.0,48.7,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
113,45,12,0.9953409090909092,reconstructed_045.bin,reconstructed_045.bin,corrupted,unknown,46934,20.0,99.53,60.0,47.86,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
114,24,12,0.9899166666666668,reconstructed_024.bin,reconstructed_024.bin,corrupted,unknown,45677,20.0,98.99,60.0,47.7,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
115,3,11,0.9952583333333334,reconstructed_003.bin,reconstructed_003.bin,corrupted,unknown,42836,20.0,99.53,55.0,47.36,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
116,31,11,0.985367261904762,reconstructed_031.bin,reconstructed_031.bin,corrupted,unknown,42521,20.0,98.54,55.0,47.06,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
117,35,10,0.98101917989418,reconstructed_035.bin,reconstructed_035.bin,corrupted,unknown,36953,20.0,98.1,50.0,46.43,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
118,86,10,0.9789351851851852,reconstructed_086.bin,reconstructed_086.bin,corrupted,unknown,38133,20.0,97.89,50.0,46.37,LOW,integrity validation failed; very high reconstruction confidence; substantial reconstructed fragment chain
119,13,8,0.9980714285714286,reconstructed_013.bin,reconstructed_013.bin,corrupted,unknown,32731,20.0,99.81,40.0,45.94,LOW,integrity validation failed; very high reconstruction confidence; small reconstructed fragment chain
120,77,9,0.9803958333333334,reconstructed_077.bin,reconstructed_077.bin,corrupted,unknown,35561,20.0,98.04,45.0,45.91,LOW,integrity validation failed; very high reconstruction confidence; small reconstructed fragment chain
121,50,8,0.9921547619047618,reconstructed_050.bin,reconstructed_050.bin,corrupted,unknown,29610,20.0,99.22,40.0,45.76,LOW,integrity validation failed; very high reconstruction confidence; small reconstructed fragment chain
122,4,8,0.9900476190476192,reconstructed_004.bin,reconstructed_004.bin,corrupted,unknown,32266,20.0,99.0,40.0,45.7,LOW,integrity validation failed; very high reconstruction confidence; small reconstructed fragment chain
123,5,8,0.982952380952381,reconstructed_005.bin,reconstructed_005.bin,corrupted,unknown,28717,20.0,98.3,40.0,45.49,LOW,integrity validation failed; very high reconstruction confidence; small reconstructed fragment chain
124,120,9,0.9449434523809525,reconstructed_120.bin,reconstructed_120.bin,corrupted,unknown,35684,20.0,94.49,45.0,44.85,LOW,integrity validation failed; very high reconstruction confidence; small reconstructed fragment chain
125,90,7,0.9762916666666668,reconstructed_090.bin,reconstructed_090.bin,corrupted,unknown,27311,20.0,97.63,35.0,44.79,LOW,integrity validation failed; very high reconstruction confidence; small reconstructed fragment chain
126,70,5,0.974110119047619,reconstructed_070.bin,reconstructed_070.bin,corrupted,unknown,17467,20.0,97.41,25.0,43.72,LOW,integrity validation failed; very high reconstruction confidence; small reconstructed fragment chain
127,74,4,0.97275,reconstructed_074.bin,reconstructed_074.bin,corrupted,unknown,16175,20.0,97.28,20.0,43.18,LOW,integrity validation failed; very high reconstruction confidence; small reconstructed fragment chain
128,58,6,0.9296393437862952,reconstructed_058.bin,reconstructed_058.bin,corrupted,unknown,21394,20.0,92.96,30.0,42.89,LOW,integrity validation failed; very high reconstruction confidence; small reconstructed fragment chain
129,25,2,0.995,reconstructed_025.bin,reconstructed_025.bin,corrupted,unknown,7210,20.0,99.5,10.0,42.85,LOW,integrity validation failed; very high reconstruction confidence; small reconstructed fragment chain
