fragment_a,fragment_b,source_a,source_b,index_a,index_b,index_distance,same_file_type,bfa_cosine_similarity,bfa_euclidean_distance,bfa_manhattan_distance,bfa_correlation,diff_entropy,diff_mean,diff_variance,diff_std,diff_printable_ratio,diff_null_ratio,diff_high_byte_ratio,diff_control_ratio,diff_max_consecutive,seam_byte_difference,seam_avg_difference_4,seam_avg_difference_16,seam_identical,seam_both_null,seam_both_printable,label
FRAG_001480,FRAG_001481,sample_zip_011.zip,sample_zip_011.zip,17,18,1,1,0.2964927509351994,0.36484441725206646,1.48118,0.518035493877111,3.3821000000000003,75.3366,2358.9579999999996,17.955400000000004,0.08860000000000001,0.35250000000000004,0.4346,0.35059999999999997,4.0,0.0,5.0,65.1875,1,1,0,1
FRAG_001191,FRAG_001192,sample_text_013.csv,sample_text_013.csv,3,4,1,1,0.9947743771444839,0.02213922762880404,0.05810000000000001,0.994299666586469,0.019899999999999807,0.14639999999999986,7.976299999999924,0.16600000000000037,0.0,0.0,0.0,0.0,0.0,4.0,14.5,19.375,0,0,1,1
FRAG_001631,FRAG_000563,sample_zip_025.zip,sample_pdf_016.pdf,8,2,6,0,0.26325295247751995,0.22480132739821623,1.6972999999999998,0.015559755498454782,3.3629000000000007,34.109899999999996,4688.1249,45.670100000000005,0.6228,0.0066,0.4998,0.1189,1.0,138.0,82.75,99.9375,0,0,0,0
FRAG_000764,FRAG_000267,sample_pdf_024.pdf,sample_pdf_002.pdf,9,8,1,1,0.9956041487014012,0.022428470745906863,0.10743,0.9952821165449623,0.04859999999999953,1.069100000000006,37.12450000000001,0.6726000000000028,0.0,0.0,0.0,0.0,0.0,83.0,32.0,22.0625,0,0,1,0
FRAG_001331,FRAG_001332,sample_text_022.log,sample_text_022.log,6,7,1,1,0.9993305034038117,0.007170383532280545,0.033220000000000006,0.9992546836358881,0.009199999999999875,0.04590000000000316,0.40850000000000364,0.006600000000002382,0.0,0.0,0.0,0.0,0.0,12.0,14.75,41.4375,0,0,1,1
FRAG_001347,FRAG_001348,sample_text_024.txt,sample_text_024.txt,6,7,1,1,0.9993327777565564,0.0074279741518128595,0.03713999999999998,0.9992636934565966,0.03479999999999972,0.11320000000000618,6.496300000000019,0.10529999999999973,0.0,0.0,0.0,0.0,0.0,12.0,42.25,50.375,0,0,1,1
FRAG_000228,FRAG_000581,sample_pdf_001.pdf,sample_pdf_016.pdf,3,20,17,1,0.9944791592740271,0.02488000602893818,0.11771000000000001,0.9940656720421853,0.007200000000000095,0.2885000000000133,11.336999999999989,0.20400000000000063,0.0,0.0,0.0,0.0,0.0,22.0,17.0,25.3125,0,0,1,0
FRAG_001492,FRAG_001493,sample_zip_013.zip,sample_zip_013.zip,2,3,1,1,0.9351875514261709,0.023206557262980654,0.31043,-0.08556474380856614,0.006199999999999761,0.4551000000000016,74.26090000000022,0.5031999999999925,0.02629999999999999,0.0021999999999999997,0.014100000000000001,0.013200000000000003,1.0,8.0,50.25,67.5625,0,0,1,1
FRAG_000104,FRAG_001336,sample_jpeg_012.jpg,sample_text_022.log,5,11,6,0,0.292444998033183,0.1891654067212079,1.63201,-0.057494305552767,2.8610000000000007,47.9661,4624.1065,43.73479999999999,0.6134999999999999,0.0085,0.5,0.1086,0.0,151.0,128.25,83.5,0,0,0,0
FRAG_000756,FRAG_000970,sample_pdf_024.pdf,sample_png_020.png,1,1,0,0,0.2504355984356012,0.2316648915999142,1.71482,-0.0182021128843889,3.4791999999999996,31.9636,4657.4916,46.19930000000001,0.6125,0.0024,0.4983,0.1111,0.0,116.0,93.0,87.625,0,0,0,0
FRAG_000262,FRAG_000263,sample_pdf_002.pdf,sample_pdf_002.pdf,3,4,1,1,0.9996096747720649,0.0071125874335574955,0.03905,0.9995852785337902,0.07629999999999981,0.790300000000002,29.512200000000007,0.5335999999999999,0.0,0.0,0.0,0.0,0.0,15.0,9.75,21.0,0,0,1,1
FRAG_001632,FRAG_001633,sample_zip_025.zip,sample_zip_025.zip,9,10,1,1,0.9386528023073997,0.022584899822669126,0.28175,-0.017158137185838356,0.006899999999999906,1.1742999999999881,26.795099999999366,0.18389999999999418,0.013900000000000023,0.0004999999999999996,0.01369999999999999,0.00019999999999999185,0.0,121.0,74.0,86.3125,0,0,0,1
FRAG_000652,FRAG_000653,sample_pdf_019.pdf,sample_pdf_019.pdf,19,20,1,1,0.9999670739573805,0.0019241621553289104,0.007799999999999987,0.9999646155256298,0.001200000000000756,0.098700000000008,3.8425999999999476,0.07059999999999889,0.0,0.0,0.0,0.0,0.0,67.0,42.5,23.75,0,0,1,1
FRAG_000952,FRAG_000953,sample_png_018.png,sample_png_018.png,7,8,1,1,0.9452051789628285,0.021320827845090817,0.28057,0.05996526889179197,0.000300000000000189,0.532999999999987,58.328700000000026,0.39679999999999893,0.0025000000000000022,0.0013000000000000004,0.0021999999999999797,0.0040999999999999925,0.0,50.0,127.0,87.875,0,0,1,1
FRAG_000544,FRAG_000545,sample_pdf_014.pdf,sample_pdf_014.pdf,17,18,1,1,0.9997427989960754,0.005350401854066658,0.025399999999999975,0.9997233931262216,0.012399999999999523,0.3444999999999965,13.651700000000005,0.2464999999999975,0.0,0.0,0.0,0.0,0.0,8.0,25.5,17.0,0,0,1,1
FRAG_001407,FRAG_000972,sample_zip_005.zip,sample_png_020.png,6,3,3,0,0.9437602719582088,0.021597974442062847,0.26997000000000004,0.03068108655370436,0.00509999999999966,1.9240000000000066,2.3494000000000597,0.015699999999995384,0.0016999999999999793,0.0041,0.006599999999999939,0.005599999999999994,1.0,18.0,67.25,64.875,0,0,1,0
FRAG_001405,FRAG_000753,sample_zip_005.zip,sample_pdf_023.pdf,4,11,7,0,0.24306697971300012,0.22925735211765838,1.70803,-0.057550663338297926,3.4169,30.606700000000004,4689.4586,46.14320000000001,0.6011,0.0046,0.4895,0.1099,0.0,97.0,55.0,60.75,0,0,0,0
FRAG_001176,FRAG_001177,sample_text_012.log,sample_text_012.log,2,3,1,1,0.9991057865485686,0.008305498178917384,0.030249999999999992,0.9990050214526826,0.007500000000000284,0.08979999999999677,0.08350000000007185,0.001300000000000523,0.0,0.0,0.0,0.0,0.0,30.0,40.0,43.5625,0,0,1,1
FRAG_001579,FRAG_001580,sample_zip_020.zip,sample_zip_020.zip,3,4,1,1,0.9420988725000805,0.021897888026017488,0.28271,-0.02446941192380266,0.00590000000000046,2.0541000000000054,73.17680000000018,0.4969999999999999,0.012199999999999989,0.0025000000000000005,0.012700000000000045,0.0015000000000000013,1.0,202.0,162.5,99.3125,0,0,0,1
FRAG_001508,FRAG_001509,sample_zip_014.zip,sample_zip_014.zip,5,6,1,1,0.9392210728157826,0.02245568524895199,0.28706,-0.04536139610492465,0.009100000000000108,1.3533000000000044,154.09490000000005,1.0480000000000018,0.009100000000000052,0.0047,0.0020999999999999908,0.01050000000000001,1.0,36.0,43.25,84.625,0,0,0,1
FRAG_000501,FRAG_000502,sample_pdf_012.pdf,sample_pdf_012.pdf,18,19,1,1,0.9989836402599801,0.01086184606777319,0.04640999999999999,0.9989103598531911,0.011999999999999567,0.13450000000000273,2.371399999999994,0.043900000000000716,0.0,0.0,0.0,0.0,0.0,19.0,28.0,15.1875,0,0,1,1
FRAG_000779,FRAG_000570,sample_pdf_025.pdf,sample_pdf_016.pdf,11,9,2,1,0.9973454622191523,0.01766017270583728,0.07959000000000001,0.9971564594032365,0.03329999999999966,0.16429999999999723,6.690799999999967,0.12209999999999965,0.0,0.0,0.0,0.0,0.0,0.0,47.25,45.625,1,0,1,0
FRAG_000042,FRAG_001273,sample_jpeg_005.jpg,sample_text_017.txt,0,7,7,0,0.29887507047643436,0.18780573580165225,1.62344,-0.03432700698266551,2.856,44.2268,4677.681100000001,44.139300000000006,0.626,0.0122,0.4866,0.1353,1.0,58.0,61.75,76.125,0,0,1,0
FRAG_000346,FRAG_000347,sample_pdf_005.pdf,sample_pdf_005.pdf,32,33,1,1,0.9556011320221449,0.0695262360551756,0.21567000000000003,0.9521669428630689,0.1731000000000007,6.3226999999999975,197.64049999999997,3.3394000000000013,0.0,0.0,0.0,0.0,8.0,8.0,26.5,23.3125,0,0,1,1
FRAG_001579,FRAG_001106,sample_zip_020.zip,sample_text_007.csv,3,8,5,0,0.3037379699593599,0.19707917596742686,1.6674799999999999,0.0441427854862995,3.0402000000000005,64.2844,4882.2696,49.89999999999999,0.6154999999999999,0.0054,0.4983,0.1128,0.0,199.0,125.0,85.375,0,0,0,0
FRAG_000920,FRAG_001395,sample_png_014.png,sample_zip_004.zip,9,0,9,0,0.9488658011848694,0.020549956204332892,0.25833,0.05331163998316723,0.0032000000000005357,0.13750000000000284,62.718300000000454,0.4247000000000014,0.010099999999999998,0.0025000000000000005,0.006399999999999961,0.0020000000000000018,1.0,61.0,55.0,84.375,0,0,0,0
FRAG_000155,FRAG_000289,sample_jpeg_017.jpg,sample_pdf_003.pdf,7,9,2,0,0.2770376814480954,0.22643589490184632,1.69729,0.08432360476335721,3.4086,33.1311,4769.5883,46.684599999999996,0.6226,0.0068,0.4983,0.1204,1.0,81.0,64.0,66.4375,0,0,0,0
FRAG_001272,FRAG_000124,sample_text_017.txt,sample_jpeg_014.jpeg,6,3,3,0,0.29519842847312266,0.1879530068926805,1.6209799999999999,-0.04583621352411267,2.8464,47.8133,4494.5931,42.93919999999999,0.6235999999999999,0.0046,0.5019,0.118,0.0,92.0,76.5,81.8125,0,0,0,0
FRAG_000989,FRAG_000990,sample_png_022.png,sample_png_022.png,1,2,1,1,0.9475926456823398,0.020860455412094914,0.271,0.1143322999489518,0.0039000000000006807,2.857200000000006,60.131099999999606,0.4087999999999994,0.002899999999999958,0.00019999999999999966,0.012199999999999989,0.009300000000000003,0.0,92.0,66.5,82.75,0,0,0,1
FRAG_000141,FRAG_000142,sample_jpeg_016.jpeg,sample_jpeg_016.jpeg,1,2,1,1,0.9389535579943008,0.022538593567478876,0.28222,-0.0015570878582188887,0.00649999999999995,1.1887999999999863,17.80580000000009,0.12089999999999179,0.0010000000000000009,0.0013999999999999993,0.01100000000000001,0.008000000000000007,0.0,143.0,70.25,79.8125,0,0,0,1
FRAG_000825,FRAG_001428,sample_png_004.png,sample_zip_007.zip,10,4,6,0,0.9414411915924854,0.022042375098886235,0.28425,-0.015271501746955284,0.013200000000000323,0.3884999999999934,141.7579999999998,0.9568000000000012,0.0025000000000000022,0.00030000000000000035,0.00930000000000003,0.006900000000000003,0.0,38.0,135.25,97.5625,0,0,0,0
FRAG_000184,FRAG_001336,sample_jpeg_020.jpg,sample_text_022.log,2,11,9,0,0.3071455736312973,0.18817370592088578,1.6090999999999998,0.006640827952803556,2.8575,48.356700000000004,4579.120599999999,43.4332,0.6306,0.0083,0.5088,0.1169,0.0,88.0,85.5,73.875,0,0,1,0
FRAG_000651,FRAG_000652,sample_pdf_019.pdf,sample_pdf_019.pdf,18,19,1,1,0.999804164203072,0.004703690040808384,0.02243,0.999789614835643,0.007800000000000473,0.14650000000000318,5.765199999999936,0.1059999999999981,0.0,0.0,0.0,0.0,0.0,11.0,7.25,23.9375,0,0,1,1
FRAG_001162,FRAG_000162,sample_text_011.json,sample_jpeg_018.jpeg,15,0,15,0,0.27825888819277705,0.22064014707210472,1.5829900000000001,0.06165854865219718,2.9608,56.9734,4443.7191,40.043499999999995,0.6195999999999999,0.0112,0.4878,0.1265,1.0,223.0,215.75,81.4375,0,0,0,0
FRAG_000685,FRAG_000686,sample_pdf_020.pdf,sample_pdf_020.pdf,12,13,1,1,0.999427530641001,0.008099709871347243,0.04000999999999999,0.999385651468899,0.021899999999999586,0.4907000000000039,15.639800000000037,0.28850000000000264,0.0,0.0,0.0,0.0,0.0,1.0,19.25,22.75,0,0,1,1
FRAG_001403,FRAG_001404,sample_zip_005.zip,sample_zip_005.zip,2,3,1,1,0.9436204024240986,0.02158920563615067,0.28014000000000006,-0.02524835450714938,0.006099999999999994,0.9497000000000071,59.0634,0.3970999999999947,0.0017000000000000348,0.0022000000000000006,0.0006999999999999784,0.0015000000000000013,1.0,99.0,35.75,96.8125,0,0,0,1
FRAG_001218,FRAG_001219,sample_text_015.json,sample_text_015.json,13,14,1,1,0.9991085353892621,0.009718364059861102,0.040020000000000014,0.9990375783520882,0.01639999999999997,0.05289999999999395,3.8070999999999913,0.05369999999999919,0.0,0.0,0.0,0.0,0.0,15.0,14.25,40.3125,0,0,1,1
FRAG_000540,FRAG_000541,sample_pdf_014.pdf,sample_pdf_014.pdf,13,14,1,1,0.9998777558388776,0.00373151443786568,0.015620000000000012,0.9998687537494516,0.000700000000000145,0.037599999999997635,0.7625000000000455,0.01389999999999958,0.0,0.0,0.0,0.0,0.0,15.0,24.25,26.0625,0,0,1,1
FRAG_000035,FRAG_000036,sample_jpeg_004.jpeg,sample_jpeg_004.jpeg,1,2,1,1,0.945682245354192,0.021258852273817606,0.26948,0.11109773923482613,0.001300000000000523,0.2989999999999924,113.42439999999988,0.7621999999999929,0.007099999999999995,0.0009000000000000006,0.00019999999999997797,0.009000000000000008,0.0,89.0,112.25,99.0,0,0,0,1
FRAG_000988,FRAG_000989,sample_png_022.png,sample_png_022.png,0,1,1,1,0.9448255463145565,0.02142511143494941,0.27526,0.09497179138558735,0.002000000000000668,1.0414999999999992,105.3737000000001,0.7149000000000001,0.004400000000000015,0.0021999999999999997,0.008299999999999974,0.002700000000000008,1.0,72.0,42.25,70.875,0,0,1,1
FRAG_000342,FRAG_000343,sample_pdf_005.pdf,sample_pdf_005.pdf,28,29,1,1,0.9998927854932804,0.003511310296741092,0.016070000000000015,0.9998849792159299,0.011400000000000077,0.2680000000000007,8.407199999999989,0.1515999999999984,0.0,0.0,0.0,0.0,0.0,13.0,26.0,22.125,0,0,1,1
FRAG_001611,FRAG_001612,sample_zip_023.zip,sample_zip_023.zip,1,2,1,1,0.9395559132101582,0.02247625191174009,0.28019,0.07428003581577597,0.0023999999999997357,0.5549000000000035,114.61599999999999,0.7670999999999992,0.0031999999999999806,0.0036,0.0049000000000000155,0.006799999999999987,1.0,18.0,59.75,72.75,0,0,0,1
FRAG_000096,FRAG_000097,sample_jpeg_011.jpeg,sample_jpeg_011.jpeg,4,5,1,1,0.942410093033563,0.021828511172317728,0.27041000000000004,-0.03260182784306494,0.0041999999999999815,0.6742999999999881,94.67630000000008,0.6414999999999935,0.0030000000000000027,0.0012000000000000005,0.00269999999999998,0.0007999999999999952,0.0,172.0,151.75,81.3125,0,0,0,1
FRAG_001390,FRAG_001391,sample_zip_003.zip,sample_zip_003.zip,5,6,1,1,0.9404558075633167,0.022270065109918292,0.28274,0.0408087972472235,0.0019999999999997797,0.3130000000000024,24.023200000000543,0.1634999999999991,0.0,0.0032,0.005900000000000016,0.006199999999999997,1.0,97.0,137.0,107.9375,0,0,0,1
FRAG_001358,FRAG_001359,sample_text_025.log,sample_text_025.log,0,1,1,1,0.9990996826905306,0.008409999999999999,0.031229999999999997,0.9990003414912179,0.026200000000000223,0.19180000000000064,7.000599999999963,0.11340000000000217,0.0,0.0,0.0,0.0,0.0,1.0,3.75,18.9375,0,0,1,1
FRAG_001528,FRAG_000696,sample_zip_015.zip,sample_pdf_020.pdf,8,23,15,0,0.27134874848942664,0.22536452449309763,1.6830499999999997,0.05238923074535098,3.3472,35.0975,4601.7228,45.1729,0.6177,0.0044,0.5059,0.1099,0.0,59.0,68.25,66.0625,0,0,1,0
FRAG_001033,FRAG_001034,sample_text_001.json,sample_text_001.json,8,9,1,1,0.999370124743195,0.008216665990534116,0.03614000000000001,0.9993206223944698,0.010799999999999699,0.22160000000000935,1.443899999999985,0.02039999999999509,0.0,0.0,0.0,0.0,0.0,14.0,44.75,58.4375,0,0,1,1
FRAG_001506,FRAG_000509,sample_zip_014.zip,sample_pdf_012.pdf,3,26,23,0,0.28187469224886147,0.2262739408327879,1.6757900000000001,0.10828450723361265,3.4071,30.4238,4563.8191,45.232099999999996,0.5962000000000001,0.0039,0.4792,0.1125,0.0,116.0,99.0,80.4375,0,0,0,0
FRAG_001572,FRAG_001274,sample_zip_019.zip,sample_text_017.txt,4,8,4,0,0.32496284405887216,0.1859641158933626,1.60046,0.07207485801391862,2.8596000000000004,47.2128,4464.1967,42.723299999999995,0.6093999999999999,0.0051,0.4951,0.1104,0.0,20.0,57.25,62.125,0,0,1,0
FRAG_000939,FRAG_001273,sample_png_017.png,sample_text_017.txt,0,7,7,0,0.33168684766395923,0.18557163522478323,1.6014599999999999,0.10173886677159542,2.8561999999999994,47.31009999999999,4496.548400000001,42.92280000000001,0.6189,0.0085,0.4939,0.1211,1.0,67.0,59.0,54.375,0,0,1,0
FRAG_001467,FRAG_001331,sample_zip_011.zip,sample_text_022.log,4,6,2,0,0.31881788328510935,0.18544210363345215,1.61036,0.0380901925460608,2.8405999999999993,48.988000000000014,4552.785400000001,43.351600000000005,0.625,0.0054,0.5066,0.1147,0.0,5.0,42.75,71.3125,0,0,1,0
FRAG_000562,FRAG_000094,sample_pdf_016.pdf,sample_jpeg_011.jpeg,1,2,1,0,0.2633975824286548,0.2253077224597506,1.7139199999999999,0.014956191002989562,3.3759000000000006,34.46340000000001,4795.0305,46.38539999999999,0.6133,0.0063,0.4976,0.1123,0.0,81.0,59.25,67.9375,0,0,1,0
FRAG_000775,FRAG_000776,sample_pdf_025.pdf,sample_pdf_025.pdf,7,8,1,1,0.9987988910335286,0.012052422992908932,0.06100999999999997,0.9987171967382366,0.09079999999999977,0.8815999999999917,27.592599999999948,0.48859999999999815,0.0,0.0,0.0,0.0,1.0,82.0,29.25,22.25,0,0,1,1
FRAG_001214,FRAG_001215,sample_text_015.json,sample_text_015.json,9,10,1,1,0.9992711238728378,0.008862375528039871,0.04395,0.9992141593817718,0.011199999999999655,0.2740000000000009,2.25019999999995,0.03180000000000405,0.0,0.0,0.0,0.0,0.0,2.0,41.0,30.0,0,0,1,1
FRAG_001606,FRAG_001607,sample_zip_022.zip,sample_zip_022.zip,3,4,1,1,0.9501860582875932,0.020255910248616327,0.25288999999999995,0.03178820543171727,0.0016999999999995907,1.6345000000000027,16.077699999999822,0.10799999999998988,0.020199999999999996,0.0022000000000000006,0.01929999999999993,0.0020000000000000018,1.0,17.0,131.5,95.9375,0,0,1,1
FRAG_000435,FRAG_000727,sample_pdf_009.pdf,sample_pdf_022.pdf,25,7,18,1,0.9968392391600627,0.019124222860027535,0.09960999999999998,0.9966106114166572,0.07830000000000048,0.8118000000000052,29.417299999999955,0.5286000000000008,0.0,0.0,0.0,0.0,0.0,0.0,36.5,25.125,1,0,1,0
FRAG_000297,FRAG_000298,sample_pdf_003.pdf,sample_pdf_003.pdf,17,18,1,1,0.9997695222719662,0.005131374084979578,0.024400000000000005,0.9997526119834249,0.006300000000000416,0.04930000000000234,3.65930000000003,0.06579999999999941,0.0,0.0,0.0,0.0,0.0,1.0,19.25,26.1875,0,0,1,1
FRAG_000079,FRAG_000223,sample_jpeg_010.jpg,sample_jpeg_025.jpg,1,9,8,1,0.9356547129754085,0.023175732998116802,0.29148,-0.003671654562651222,0.001700000000000479,0.6855999999999938,154.26659999999993,1.043299999999988,0.024500000000000022,0.0016999999999999993,0.009799999999999975,0.011899999999999994,0.0,88.0,63.0,84.3125,0,0,0,0
FRAG_000250,FRAG_001175,sample_pdf_001.pdf,sample_text_012.log,25,1,24,0,0.8664882358520244,0.11653290222078913,0.71383,0.8553286037719645,0.5281000000000002,14.57780000000001,168.1128,2.8549000000000007,0.0,0.0,0.0,0.0,1.0,43.0,46.5,34.625,0,0,1,0
FRAG_001029,FRAG_001030,sample_text_001.json,sample_text_001.json,4,5,1,1,0.9994931752956241,0.007389871446784447,0.036600000000000035,0.9994535631609106,0.011400000000000077,0.08880000000000621,1.9175000000000182,0.027099999999997237,0.0,0.0,0.0,0.0,0.0,14.0,23.5,34.4375,0,0,1,1
FRAG_001301,FRAG_000351,sample_text_019.txt,sample_pdf_006.pdf,14,3,11,0,0.8631230334183569,0.11867412776169875,0.68962,0.8518228881699416,0.4936000000000007,14.629000000000005,151.00890000000004,2.5472,0.0,0.0,0.0,0.0,1.0,22.0,41.0,36.0625,0,0,1,0
FRAG_001558,FRAG_000759,sample_zip_018.zip,sample_pdf_024.pdf,0,4,4,0,0.2846804502994001,0.22538884333524586,1.69237,0.11416523320035023,3.3691999999999993,33.086600000000004,4591.6094,45.3445,0.6134999999999999,0.0059,0.4993,0.1099,1.0,110.0,108.0,88.9375,0,0,0,0
FRAG_001524,FRAG_001525,sample_zip_015.zip,sample_zip_015.zip,4,5,1,1,0.9371433563002286,0.022905217746181764,0.30076,0.019390989938302416,0.0036000000000004917,1.5416999999999916,150.32899999999972,1.0130999999999943,0.009000000000000008,0.0009999999999999996,0.008600000000000052,0.0007000000000000062,0.0,61.0,98.75,88.75,0,0,1,1
FRAG_000553,FRAG_000554,sample_pdf_015.pdf,sample_pdf_015.pdf,4,5,1,1,0.9991162200269482,0.010290247810427113,0.05661999999999999,0.9990550576017847,0.08720000000000017,1.0439000000000078,37.23910000000001,0.6669000000000018,0.0,0.0,0.0,0.0,0.0,37.0,16.75,27.8125,0,0,1,1
FRAG_000563,FRAG_000564,sample_pdf_016.pdf,sample_pdf_016.pdf,2,3,1,1,0.9997772498496498,0.004920315030564609,0.02096999999999999,0.9997599985386869,0.000700000000000145,0.21699999999999875,3.2590000000000146,0.057099999999998374,0.0,0.0,0.0,0.0,0.0,1.0,11.75,21.9375,0,0,1,1
FRAG_000809,FRAG_000029,sample_png_003.png,sample_jpeg_003.jpg,0,3,3,0,0.9459167213691356,0.02121930017696154,0.25977,0.12470219516574528,0.0011999999999998678,0.016199999999997772,184.11170000000038,1.2396999999999991,0.018400000000000027,0.0022000000000000006,0.004400000000000015,0.014399999999999996,1.0,97.0,85.5,111.375,0,0,0,0
FRAG_001105,FRAG_001547,sample_text_007.csv,sample_zip_017.zip,7,3,4,0,0.27069173531045,0.2029541445745812,1.6821,-0.08674412752295355,3.0646000000000004,65.42699999999999,5006.0419999999995,50.6983,0.6221,0.0046,0.5039,0.1157,0.0,175.0,83.25,72.8125,0,0,0,0
