fragment_a,fragment_b,source_a,source_b,index_a,index_b,label
FRAG_001104,FRAG_000992,sample_text_007.csv,sample_png_022.png,6,4,0
FRAG_001590,FRAG_000938,sample_zip_021.zip,sample_png_016.png,1,11,0
FRAG_000636,FRAG_001344,sample_pdf_019.pdf,sample_text_024.txt,3,3,0
FRAG_001119,FRAG_001120,sample_text_008.json,sample_text_008.json,11,12,1
FRAG_000863,FRAG_000864,sample_png_008.png,sample_png_008.png,8,9,1
FRAG_000647,FRAG_000822,sample_pdf_019.pdf,sample_png_004.png,14,7,0
FRAG_000879,FRAG_001149,sample_png_009.png,sample_text_011.json,10,2,0
FRAG_001217,FRAG_001039,sample_text_015.json,sample_text_001.json,12,14,0
FRAG_000290,FRAG_000717,sample_pdf_003.pdf,sample_pdf_021.pdf,10,9,0
FRAG_000723,FRAG_000724,sample_pdf_022.pdf,sample_pdf_022.pdf,3,4,1
FRAG_000854,FRAG_001196,sample_png_007.png,sample_text_013.csv,8,8,0
FRAG_001102,FRAG_001103,sample_text_007.csv,sample_text_007.csv,4,5,1
FRAG_000373,FRAG_000374,sample_pdf_007.pdf,sample_pdf_007.pdf,3,4,1
FRAG_000777,FRAG_000570,sample_pdf_025.pdf,sample_pdf_016.pdf,9,9,0
FRAG_001259,FRAG_001260,sample_text_016.json,sample_text_016.json,21,22,1
FRAG_000278,FRAG_000279,sample_pdf_002.pdf,sample_pdf_002.pdf,19,20,1
FRAG_001311,FRAG_001204,sample_text_020.txt,sample_text_014.txt,9,7,0
FRAG_000094,FRAG_000095,sample_jpeg_011.jpeg,sample_jpeg_011.jpeg,2,3,1
FRAG_001297,FRAG_000063,sample_text_019.txt,sample_jpeg_008.jpeg,10,4,0
FRAG_001224,FRAG_001087,sample_text_015.json,sample_text_005.csv,19,2,0
FRAG_001539,FRAG_001540,sample_zip_016.zip,sample_zip_016.zip,9,10,1
FRAG_000618,FRAG_000939,sample_pdf_018.pdf,sample_png_017.png,15,0,0
FRAG_000299,FRAG_000300,sample_pdf_003.pdf,sample_pdf_003.pdf,19,20,1
FRAG_001001,FRAG_001002,sample_png_023.png,sample_png_023.png,5,6,1
FRAG_001006,FRAG_001007,sample_png_024.png,sample_png_024.png,0,1,1
FRAG_000219,FRAG_000220,sample_jpeg_025.jpg,sample_jpeg_025.jpg,5,6,1
FRAG_001615,FRAG_000139,sample_zip_023.zip,sample_jpeg_015.jpeg,5,14,0
FRAG_000811,FRAG_000812,sample_png_003.png,sample_png_003.png,2,3,1
FRAG_001369,FRAG_000176,sample_text_025.log,sample_jpeg_019.jpg,11,6,0
FRAG_001020,FRAG_001021,sample_png_025.png,sample_png_025.png,9,10,1
FRAG_001078,FRAG_000233,sample_text_004.json,sample_pdf_001.pdf,11,8,0
FRAG_001099,FRAG_000919,sample_text_007.csv,sample_png_014.png,1,8,0
FRAG_000706,FRAG_000707,sample_pdf_020.pdf,sample_pdf_020.pdf,33,34,1
FRAG_001123,FRAG_001124,sample_text_008.json,sample_text_008.json,15,16,1
FRAG_001050,FRAG_000234,sample_text_002.txt,sample_pdf_001.pdf,7,9,0
FRAG_000156,FRAG_000157,sample_jpeg_017.jpg,sample_jpeg_017.jpg,8,9,1
FRAG_001156,FRAG_001358,sample_text_011.json,sample_text_025.log,9,0,0
FRAG_000965,FRAG_001552,sample_png_019.png,sample_zip_017.zip,8,8,0
FRAG_000460,FRAG_001332,sample_pdf_011.pdf,sample_text_022.log,7,7,0
FRAG_000363,FRAG_000364,sample_pdf_006.pdf,sample_pdf_006.pdf,15,16,1
FRAG_000119,FRAG_000494,sample_jpeg_013.jpeg,sample_pdf_012.pdf,7,11,0
FRAG_000773,FRAG_000774,sample_pdf_025.pdf,sample_pdf_025.pdf,5,6,1
FRAG_000082,FRAG_001269,sample_jpeg_010.jpg,sample_text_017.txt,4,3,0
FRAG_000525,FRAG_001571,sample_pdf_013.pdf,sample_zip_019.zip,7,3,0
FRAG_000165,FRAG_000166,sample_jpeg_018.jpeg,sample_jpeg_018.jpeg,3,4,1
FRAG_000941,FRAG_001099,sample_png_017.png,sample_text_007.csv,2,1,0
FRAG_001634,FRAG_000530,sample_zip_025.zip,sample_pdf_014.pdf,11,3,0
FRAG_000063,FRAG_001020,sample_jpeg_008.jpeg,sample_png_025.png,4,9,0
FRAG_000862,FRAG_001362,sample_png_008.png,sample_text_025.log,7,4,0
FRAG_000876,FRAG_001056,sample_png_009.png,sample_text_002.txt,7,13,0
FRAG_000371,FRAG_001419,sample_pdf_007.pdf,sample_zip_006.zip,1,9,0
FRAG_000340,FRAG_001624,sample_pdf_005.pdf,sample_zip_025.zip,26,1,0
FRAG_001531,FRAG_000982,sample_zip_016.zip,sample_png_021.png,1,8,0
FRAG_000695,FRAG_000696,sample_pdf_020.pdf,sample_pdf_020.pdf,22,23,1
FRAG_001190,FRAG_001191,sample_text_013.csv,sample_text_013.csv,2,3,1
FRAG_000391,FRAG_001228,sample_pdf_008.pdf,sample_text_015.json,1,23,0
FRAG_000835,FRAG_000836,sample_png_006.png,sample_png_006.png,0,1,1
FRAG_000187,FRAG_000188,sample_jpeg_021.jpg,sample_jpeg_021.jpg,0,1,1
FRAG_000333,FRAG_000363,sample_pdf_005.pdf,sample_pdf_006.pdf,19,15,0
FRAG_000665,FRAG_001574,sample_pdf_019.pdf,sample_zip_019.zip,32,6,0
FRAG_000173,FRAG_000174,sample_jpeg_019.jpg,sample_jpeg_019.jpg,3,4,1
FRAG_000317,FRAG_000318,sample_pdf_005.pdf,sample_pdf_005.pdf,3,4,1
FRAG_001148,FRAG_001149,sample_text_011.json,sample_text_011.json,1,2,1
FRAG_001397,FRAG_001398,sample_zip_004.zip,sample_zip_004.zip,2,3,1
FRAG_000080,FRAG_000964,sample_jpeg_010.jpg,sample_png_019.png,2,7,0
FRAG_000034,FRAG_000035,sample_jpeg_004.jpeg,sample_jpeg_004.jpeg,0,1,1
FRAG_000552,FRAG_000553,sample_pdf_015.pdf,sample_pdf_015.pdf,3,4,1
FRAG_000544,FRAG_000272,sample_pdf_014.pdf,sample_pdf_002.pdf,17,13,0
FRAG_001535,FRAG_001105,sample_zip_016.zip,sample_text_007.csv,5,7,0
FRAG_000490,FRAG_000634,sample_pdf_012.pdf,sample_pdf_019.pdf,7,1,0
FRAG_001534,FRAG_000593,sample_zip_016.zip,sample_pdf_017.pdf,4,10,0
FRAG_000709,FRAG_000710,sample_pdf_021.pdf,sample_pdf_021.pdf,1,2,1
FRAG_000051,FRAG_000052,sample_jpeg_006.jpg,sample_jpeg_006.jpg,3,4,1
FRAG_000630,FRAG_000631,sample_pdf_018.pdf,sample_pdf_018.pdf,27,28,1
FRAG_001472,FRAG_001473,sample_zip_011.zip,sample_zip_011.zip,9,10,1
FRAG_000792,FRAG_000793,sample_pdf_025.pdf,sample_pdf_025.pdf,24,25,1
FRAG_000293,FRAG_000543,sample_pdf_003.pdf,sample_pdf_014.pdf,13,16,0
FRAG_000908,FRAG_001356,sample_png_013.png,sample_text_024.txt,5,15,0
FRAG_000909,FRAG_000341,sample_png_013.png,sample_pdf_005.pdf,6,27,0
FRAG_001465,FRAG_001466,sample_zip_011.zip,sample_zip_011.zip,2,3,1
FRAG_000164,FRAG_000672,sample_jpeg_018.jpeg,sample_pdf_019.pdf,2,39,0
FRAG_000229,FRAG_000602,sample_pdf_001.pdf,sample_pdf_017.pdf,4,19,0
FRAG_000477,FRAG_000478,sample_pdf_011.pdf,sample_pdf_011.pdf,24,25,1
FRAG_001629,FRAG_001630,sample_zip_025.zip,sample_zip_025.zip,6,7,1
FRAG_001435,FRAG_001307,sample_zip_008.zip,sample_text_020.txt,3,5,0
FRAG_000108,FRAG_000109,sample_jpeg_012.jpg,sample_jpeg_012.jpg,9,10,1
FRAG_000950,FRAG_000951,sample_png_018.png,sample_png_018.png,5,6,1
FRAG_001410,FRAG_001141,sample_zip_006.zip,sample_text_010.log,0,2,0
FRAG_001255,FRAG_001474,sample_text_016.json,sample_zip_011.zip,17,11,0
FRAG_000529,FRAG_000530,sample_pdf_014.pdf,sample_pdf_014.pdf,2,3,1
FRAG_000915,FRAG_000916,sample_png_014.png,sample_png_014.png,4,5,1
FRAG_001517,FRAG_001518,sample_zip_014.zip,sample_zip_014.zip,14,15,1
FRAG_000387,FRAG_001429,sample_pdf_007.pdf,sample_zip_007.zip,17,5,0
FRAG_000633,FRAG_000634,sample_pdf_019.pdf,sample_pdf_019.pdf,0,1,1
FRAG_000266,FRAG_000267,sample_pdf_002.pdf,sample_pdf_002.pdf,7,8,1
FRAG_001411,FRAG_000623,sample_zip_006.zip,sample_pdf_018.pdf,1,20,0
FRAG_000464,FRAG_000282,sample_pdf_011.pdf,sample_pdf_003.pdf,11,2,0
FRAG_001113,FRAG_001074,sample_text_008.json,sample_text_004.json,5,7,0
FRAG_001044,FRAG_001011,sample_text_002.txt,sample_png_025.png,1,0,0
FRAG_000217,FRAG_000888,sample_jpeg_025.jpg,sample_png_011.png,3,0,0
FRAG_000127,FRAG_000923,sample_jpeg_015.jpeg,sample_png_015.png,2,1,0
FRAG_001068,FRAG_001069,sample_text_004.json,sample_text_004.json,1,2,1
FRAG_001051,FRAG_001536,sample_text_002.txt,sample_zip_016.zip,8,6,0
FRAG_000962,FRAG_000963,sample_png_019.png,sample_png_019.png,5,6,1
FRAG_001032,FRAG_001033,sample_text_001.json,sample_text_001.json,7,8,1
FRAG_001149,FRAG_001150,sample_text_011.json,sample_text_011.json,2,3,1
FRAG_000300,FRAG_000301,sample_pdf_003.pdf,sample_pdf_003.pdf,20,21,1
FRAG_001373,FRAG_001374,sample_zip_001.zip,sample_zip_001.zip,3,4,1
FRAG_001030,FRAG_001081,sample_text_001.json,sample_text_004.json,5,14,0
FRAG_000762,FRAG_000910,sample_pdf_024.pdf,sample_png_013.png,7,7,0
FRAG_001547,FRAG_001548,sample_zip_017.zip,sample_zip_017.zip,3,4,1
FRAG_000174,FRAG_000175,sample_jpeg_019.jpg,sample_jpeg_019.jpg,4,5,1
FRAG_000531,FRAG_001540,sample_pdf_014.pdf,sample_zip_016.zip,4,10,0
FRAG_001034,FRAG_001324,sample_text_001.json,sample_text_021.csv,9,6,0
FRAG_000328,FRAG_000671,sample_pdf_005.pdf,sample_pdf_019.pdf,14,38,0
FRAG_001310,FRAG_001621,sample_text_020.txt,sample_zip_024.zip,8,4,0
FRAG_000283,FRAG_000284,sample_pdf_003.pdf,sample_pdf_003.pdf,3,4,1
FRAG_000373,FRAG_000999,sample_pdf_007.pdf,sample_png_023.png,3,3,0
FRAG_000103,FRAG_001142,sample_jpeg_012.jpg,sample_text_010.log,4,3,0
FRAG_000691,FRAG_000692,sample_pdf_020.pdf,sample_pdf_020.pdf,18,19,1
FRAG_000250,FRAG_000251,sample_pdf_001.pdf,sample_pdf_001.pdf,25,26,1
FRAG_001614,FRAG_001615,sample_zip_023.zip,sample_zip_023.zip,4,5,1
FRAG_001284,FRAG_001285,sample_text_018.csv,sample_text_018.csv,7,8,1
FRAG_000162,FRAG_000163,sample_jpeg_018.jpeg,sample_jpeg_018.jpeg,0,1,1
FRAG_001200,FRAG_001201,sample_text_014.txt,sample_text_014.txt,3,4,1
FRAG_000968,FRAG_001426,sample_png_019.png,sample_zip_007.zip,11,2,0
FRAG_000256,FRAG_001475,sample_pdf_001.pdf,sample_zip_011.zip,31,12,0
FRAG_000536,FRAG_000537,sample_pdf_014.pdf,sample_pdf_014.pdf,9,10,1
FRAG_000382,FRAG_001023,sample_pdf_007.pdf,sample_png_025.png,12,12,0
FRAG_000547,FRAG_001575,sample_pdf_014.pdf,sample_zip_019.zip,20,7,0
FRAG_000048,FRAG_000049,sample_jpeg_006.jpg,sample_jpeg_006.jpg,0,1,1
FRAG_000585,FRAG_001323,sample_pdf_017.pdf,sample_text_021.csv,2,5,0
FRAG_000493,FRAG_001415,sample_pdf_012.pdf,sample_zip_006.zip,10,5,0
FRAG_000390,FRAG_000522,sample_pdf_008.pdf,sample_pdf_013.pdf,0,4,0
FRAG_000358,FRAG_000359,sample_pdf_006.pdf,sample_pdf_006.pdf,10,11,1
FRAG_001157,FRAG_001317,sample_text_011.json,sample_text_020.txt,10,15,0
FRAG_000192,FRAG_000448,sample_jpeg_021.jpg,sample_pdf_010.pdf,5,3,0
FRAG_001221,FRAG_001437,sample_text_015.json,sample_zip_008.zip,16,5,0
FRAG_000432,FRAG_001571,sample_pdf_009.pdf,sample_zip_019.zip,22,3,0
FRAG_000876,FRAG_000877,sample_png_009.png,sample_png_009.png,7,8,1
FRAG_000810,FRAG_000811,sample_png_003.png,sample_png_003.png,1,2,1
FRAG_000164,FRAG_000165,sample_jpeg_018.jpeg,sample_jpeg_018.jpeg,2,3,1
FRAG_000480,FRAG_000481,sample_pdf_011.pdf,sample_pdf_011.pdf,27,28,1
FRAG_001263,FRAG_001515,sample_text_016.json,sample_zip_014.zip,25,12,0
FRAG_001113,FRAG_000773,sample_text_008.json,sample_pdf_025.pdf,5,5,0
FRAG_001015,FRAG_000591,sample_png_025.png,sample_pdf_017.pdf,4,8,0
FRAG_000589,FRAG_000590,sample_pdf_017.pdf,sample_pdf_017.pdf,6,7,1
FRAG_000527,FRAG_000528,sample_pdf_014.pdf,sample_pdf_014.pdf,0,1,1
FRAG_001440,FRAG_001441,sample_zip_008.zip,sample_zip_008.zip,8,9,1
FRAG_001238,FRAG_001239,sample_text_016.json,sample_text_016.json,0,1,1
FRAG_000317,FRAG_000485,sample_pdf_005.pdf,sample_pdf_012.pdf,3,2,0
FRAG_000506,FRAG_000507,sample_pdf_012.pdf,sample_pdf_012.pdf,23,24,1
FRAG_000643,FRAG_000355,sample_pdf_019.pdf,sample_pdf_006.pdf,10,7,0
FRAG_000396,FRAG_000817,sample_pdf_008.pdf,sample_png_004.png,6,2,0
FRAG_001603,FRAG_000085,sample_zip_022.zip,sample_jpeg_010.jpg,0,7,0
FRAG_001069,FRAG_001070,sample_text_004.json,sample_text_004.json,2,3,1
FRAG_001038,FRAG_001039,sample_text_001.json,sample_text_001.json,13,14,1
FRAG_001105,FRAG_001106,sample_text_007.csv,sample_text_007.csv,7,8,1
FRAG_000756,FRAG_000958,sample_pdf_024.pdf,sample_png_019.png,1,1,0
FRAG_000598,FRAG_001043,sample_pdf_017.pdf,sample_text_002.txt,15,0,0
FRAG_001130,FRAG_001131,sample_text_009.txt,sample_text_009.txt,2,3,1
FRAG_001361,FRAG_001362,sample_text_025.log,sample_text_025.log,3,4,1
FRAG_000487,FRAG_000488,sample_pdf_012.pdf,sample_pdf_012.pdf,4,5,1
FRAG_001618,FRAG_001615,sample_zip_024.zip,sample_zip_023.zip,1,5,0
FRAG_000883,FRAG_000884,sample_png_010.png,sample_png_010.png,2,3,1
FRAG_001374,FRAG_001375,sample_zip_001.zip,sample_zip_001.zip,4,5,1
FRAG_000454,FRAG_001327,sample_pdf_011.pdf,sample_text_022.log,1,2,0
FRAG_001339,FRAG_000737,sample_text_023.csv,sample_pdf_022.pdf,2,17,0
FRAG_000425,FRAG_000426,sample_pdf_009.pdf,sample_pdf_009.pdf,15,16,1
FRAG_001293,FRAG_001402,sample_text_019.txt,sample_zip_005.zip,6,1,0
FRAG_001180,FRAG_000880,sample_text_012.log,sample_png_009.png,6,11,0
FRAG_001073,FRAG_000739,sample_text_004.json,sample_pdf_022.pdf,6,19,0
FRAG_000753,FRAG_000236,sample_pdf_023.pdf,sample_pdf_001.pdf,11,11,0
FRAG_000712,FRAG_001092,sample_pdf_021.pdf,sample_text_006.log,4,2,0
FRAG_001227,FRAG_001228,sample_text_015.json,sample_text_015.json,22,23,1
FRAG_001193,FRAG_001194,sample_text_013.csv,sample_text_013.csv,5,6,1
FRAG_000394,FRAG_000395,sample_pdf_008.pdf,sample_pdf_008.pdf,4,5,1
FRAG_001611,FRAG_000643,sample_zip_023.zip,sample_pdf_019.pdf,1,10,0
FRAG_001110,FRAG_001111,sample_text_008.json,sample_text_008.json,2,3,1
FRAG_000466,FRAG_000467,sample_pdf_011.pdf,sample_pdf_011.pdf,13,14,1
FRAG_000911,FRAG_000484,sample_png_014.png,sample_pdf_012.pdf,0,1,0
FRAG_000926,FRAG_000354,sample_png_015.png,sample_pdf_006.pdf,4,6,0
FRAG_001290,FRAG_001406,sample_text_019.txt,sample_zip_005.zip,3,5,0
FRAG_000636,FRAG_000461,sample_pdf_019.pdf,sample_pdf_011.pdf,3,8,0
FRAG_000843,FRAG_000844,sample_png_006.png,sample_png_006.png,8,9,1
FRAG_000672,FRAG_001250,sample_pdf_019.pdf,sample_text_016.json,39,12,0
FRAG_000548,FRAG_000060,sample_pdf_014.pdf,sample_jpeg_008.jpeg,21,1,0
FRAG_001476,FRAG_001477,sample_zip_011.zip,sample_zip_011.zip,13,14,1
FRAG_000391,FRAG_000392,sample_pdf_008.pdf,sample_pdf_008.pdf,1,2,1
FRAG_001546,FRAG_001155,sample_zip_017.zip,sample_text_011.json,2,8,0
FRAG_000157,FRAG_000158,sample_jpeg_017.jpg,sample_jpeg_017.jpg,9,10,1
FRAG_000294,FRAG_000295,sample_pdf_003.pdf,sample_pdf_003.pdf,14,15,1
FRAG_001438,FRAG_001439,sample_zip_008.zip,sample_zip_008.zip,6,7,1
FRAG_001558,FRAG_001091,sample_zip_018.zip,sample_text_006.log,0,1,0
FRAG_000537,FRAG_001588,sample_pdf_014.pdf,sample_zip_020.zip,10,12,0
FRAG_000437,FRAG_001037,sample_pdf_009.pdf,sample_text_001.json,27,12,0
FRAG_000259,FRAG_000260,sample_pdf_002.pdf,sample_pdf_002.pdf,0,1,1
FRAG_000754,FRAG_000895,sample_pdf_023.pdf,sample_png_011.png,12,7,0
FRAG_000687,FRAG_000688,sample_pdf_020.pdf,sample_pdf_020.pdf,14,15,1
FRAG_000688,FRAG_000655,sample_pdf_020.pdf,sample_pdf_019.pdf,15,22,0
FRAG_001558,FRAG_001127,sample_zip_018.zip,sample_text_008.json,0,19,0
FRAG_000913,FRAG_000914,sample_png_014.png,sample_png_014.png,2,3,1
